Type,Manufacturer,Item,Quantity
Battery,"FranklinWH","FranklinWH aPowerX",2
Microinverter,"Enphase Energy Inc.","IQ8A-72-2-US",28
Module,"Silfab Solar","SIL-430 QD",28
