Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,13,151,20,96,83,80
2,10,240,20,92,82,75
3,5,240,20,92,70,64
Weighted average by panel count:,,,,,80.3,75.4

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,63,67,85,91,92,91,93,93,87,67,61,61
2,49,73,84,88,89,88,90,90,87,81,54,49
3,41,52,54,79,86,87,87,83,65,43,44,40
