Type,Manufacturer,Item,Quantity
DC optimizer,"SolarEdge Technologies Inc.","P600",1160
Module,"Silfab Solar","SIL-520 QM",1160
String inverter,"SolarEdge Technologies Inc.","SE100K-US",2
String inverter,"SolarEdge Technologies Inc.","SE50kUS",10
