Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,8,171,34,99,96,95
2,9,260,23,89,98,87
3,4,261,34,87,98,85
4,3,261,34,87,98,85
Weighted average by panel count:,,,,,97.3,89.1

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,98,98,98,96,93,93,96,96,97,98,98,98
2,99,99,98,97,96,97,98,98,98,98,99,99
3,98,98,98,98,97,97,98,98,98,98,98,97
4,98,98,98,98,97,98,98,97,98,98,98,98
