Type,Manufacturer,Item,Quantity
Battery,"FranklinWH","FranklinWH aPowerX",2
Microinverter,"Enphase Energy Inc.","IQ8X-80-M-US (240V)",24
Module,"REC","REC460AA Pure-RX",24
