Type,Manufacturer,Item,Quantity
DC optimizer,"SolarEdge Technologies Inc.","P505",73
Module,"JA Solar","JAM72S10-405PR",73
String inverter,"SolarEdge Technologies Inc.","SE33.3KUS (480V)",1
