Type,Manufacturer,Item,Quantity
Battery,"Enphase Energy Inc.","IQBATTERY-5P-1P-NA",3
Module,"Silfab Solar","SIL-520 QM",16
String inverter,"Ginlong Solis","Solis-1P7.7K-5G",1
