Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,18,275,20,85,93,79
2,8,96,20,85,92,78
3,14,275,20,85,92,78
Weighted average by panel count:,,,,,92.5,78.5

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,90,95,93,95,92,93,94,93,95,93,92,87
2,89,94,95,93,90,88,89,92,95,95,91,92
3,91,91,89,93,93,93,93,93,89,89,93,93
