Type,Manufacturer,Item,Quantity
Microinverter,"Enphase Energy Inc.","IQ8M-72-2-US",8
Microinverter,"Enphase Energy Inc.","IQ8A-72-2-US",43
Module,"Qcells","Q.PEAK DUO XL-G10.3/BFG 485W",43
Module,"Silfab Solar","SIL-370 HC",8
