Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,18,196,9,93,99,92
2,18,196,9,93,99,92
3,18,196,9,93,100,93
4,18,196,9,93,98,91
5,10,197,14,95,99,94
6,10,197,14,95,100,95
7,36,197,14,95,99,94
Weighted average by panel count:,,,,,99.1,93

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,98,99,98,99,100,100,100,100,99,98,98,98
2,99,99,99,100,100,100,100,100,99,99,99,98
3,99,100,100,99,100,100,100,100,99,100,99,99
4,99,99,98,97,97,97,97,98,98,99,98,98
5,100,99,99,99,99,100,100,99,99,99,100,99
6,100,100,100,99,100,100,100,100,100,100,100,100
7,96,99,100,99,99,99,99,99,100,100,97,95
