Type,Manufacturer,Item,Quantity
DC optimizer,"SolarEdge Technologies Inc.","P1101",66
Module,"Silfab Solar","SIL-410 HC+",128
String inverter,"SolarEdge Technologies Inc.","SE17.3KUS (208V)",2
String inverter,"SolarEdge Technologies Inc.","SE14.4KUS (208V)",1
