Type,Manufacturer,Item,Quantity
DC optimizer,"SolarEdge Technologies Inc.","P1100",80
Module,"Silfab Solar","SIL-500 HM",80
String inverter,"SolarEdge Technologies Inc.","SE17.3KUS (208V)",3
