Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,6,94,20,84,82,69
2,6,94,20,84,96,80
3,7,185,11,94,86,81
4,6,274,20,85,91,78
5,2,274,7,87,93,81
6,2,274,20,85,82,69
Weighted average by panel count:,,,,,88.5,76.9

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,90,83,82,80,79,80,80,78,81,84,90,93
2,96,93,94,96,97,97,97,97,96,90,92,96
3,60,74,91,90,95,96,96,91,90,81,58,57
4,77,86,94,94,96,97,96,92,98,80,74,77
5,79,85,96,94,98,97,98,94,99,85,81,81
6,69,72,80,87,81,83,82,83,91,75,79,80
