Type,Manufacturer,Item,Quantity
DC optimizer,"SolarEdge Technologies Inc.","P1100",30
Module,"Silfab Solar","SIL-500 HM",60
String inverter,"SolarEdge Technologies Inc.","SE17.3KUS (208V)",2
