Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,5,289,15,84,100,84
2,3,289,20,82,96,79
3,2,109,20,89,100,89
4,3,199,20,98,100,98
Weighted average by panel count:,,,,,99.1,86.8

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,100,100,100,100,100,100,100,100,100,100,100,100
2,95,95,95,96,97,97,97,96,96,94,95,95
3,100,100,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100,100,100
