Type,Manufacturer,Item,Quantity
DC optimizer,"SolarEdge Technologies Inc.","S440",48
Module,"Silfab Solar","SIL-440 QD",48
String inverter,"SolarEdge Technologies Inc.","SE17.3KUS (208V)",1
