Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,27,215,15,95,97,92
2,6,214,15,95,96,91
Weighted average by panel count:,,,,,96.8,91.8

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,94,96,97,98,98,98,98,98,97,97,95,94
2,96,97,98,96,95,93,93,95,97,97,97,96
