Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,44,154,30,96,98,94
Weighted average by panel count:,,,,,98,94

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,99,97,98,98,98,98,98,98,97,98,98,98
