Array ID,Panel count,Azimuth,Pitch,Annual TOF,Annual solar access,Annual TSRF
1,40,182,15,97,99,96
2,40,181,15,97,99,96
3,40,182,15,97,100,97
4,40,182,15,97,100,97
Weighted average by panel count:,,,,,99.5,96.5

Array ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,97,99,99,99,99,99,99,100,100,99,98,96
2,96,98,99,99,99,99,99,100,99,99,97,94
3,100,100,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100,100,100
